Mot;Distribution
approuvez;1
ma;103
faiblesse;12
et;482
souffrez;9
douleur;12
elle;41
n'est;23
que;251
trop;39
juste;10
en;184
un;167
si;150
grand;23
malheur;16
près;7
de;471
voir;35
sur;28
soi;2
fondre;1
tels;8
orages;1
l'ébranlement;1
sied;2
bien;54
aux;58
plus;115
fermes;2
courages;1
l'esprit;2
le;245
mâle;3
moins;42
abattu;2
ne;158
saurait;5
sans;60
désordre;1
exercer;1
sa;97
vertu;34
quoique;5
mien;4
s'étonne;2
à;235
ces;38
rudes;5
alarmes;2
trouble;4
mon;115
coeur;30
peut;27
rien;29
mes;53
larmes;14
parmi;4
les;157
soupirs;9
qu'il;57
pousse;1
vers;5
cieux;3
constance;8
du;56
règne;2
encore;40
yeux;21
quand;36
on;43
arrête;2
là;6
déplaisirs;5
d'une;33
âme;26
l'on;10
fait;69
qu'un;35
homme;12
qu'une;5
femme;18
commander;2
ses;54
pleurs;26
cette;29
extrémité;2
c'est;52
montrer;6
pour;179
sexe;1
assez;23
fermeté;5
c'en;2
est;78
peut-être;3
une;60
commune;2
qui;114
moindre;4
péril;2
se;51
infortune;2
mais;80
honteux;2
il;114
ose;3
espérer;4
tout;53
dans;61
succès;8
douteux;2
deux;44
camps;6
sont;39
rangés;1
au;51
pied;3
nos;63
murailles;2
rome;68
ignore;1
comme;38
perd;4
des;130
batailles;1
loin;7
trembler;3
lui;48
faut;28
applaudir;2
puisqu'elle;2
va;10
combattre;6
s'agrandir;1
bannissez;2
frayeur;2
vaine;1
concevez;1
voeux;19
dignes;4
romaine;6
je;223
suis;23
hélas;7
puisque;13
époux;22
l'est;6
l'hymen;6
me;70
embrasser;4
l'intérêt;2
tiendrait;1
esclave;3
enchaînée;1
s'il;13
m'ôtait;1
penser;5
lieux;6
où;23
née;1
albe;22
j'ai;32
commencé;1
respirer;1
jour;19
cher;8
pays;22
premier;8
amour;14
entre;10
nous;96
toi;11
vois;13
la;231
guerre;12
ouverte;2
crains;3
notre;39
victoire;19
autant;10
perte;10
tu;38
te;21
plains;9
trahir;1
fais-toi;2
ennemis;9
puisse;5
haïr;7
tes;30
murs;8
leur;60
armée;5
nôtre;3
trois;29
frères;26
l'une;9
mari;9
l'autre;20
puis-je;2
former;4
impiété;2
importuner;1
ciel;24
ta;29
félicité;2
sais;5
ton;37
état;4
naissance;6
affermir;1
puissance;4
doit;15
s'accroître;1
grands;13
destins;5
borneront;1
pas;51
chez;4
peuples;3
latins;1
dieux;33
t'ont;2
promis;4
l'empire;1
terre;6
n'en;14
peux;2
l'effet;5
par;79
m'opposer;1
noble;6
ardeur;4
suit;4
l'arrêt;2
court;1
grandeur;1
voudrais;2
déjà;13
troupes;2
couronnées;1
d'un;80
victorieux;4
franchir;1
pyrénées;1
jusqu'en;1
l'orient;2
pousser;1
bataillons;1
bords;1
rhin;1
planter;1
pavillons;1
fais;7
sous;7
colonnes;1
d'hercule;1
respecte;2
ville;3
dois;14
romule;2
ingrate;1
souviens-toi;1
sang;48
rois;8
tiens;5
nom;12
premières;1
lois;9
origine;1
considère;3
portes;1
fer;2
sein;1
mère;1
tourne;1
ailleurs;3
efforts;3
bras;22
triomphants;1
joie;16
éclatera;1
l'heur;3
enfants;5
laissant;2
ravir;1
l'amour;10
maternelle;1
seront;1
n'es;3
contre;27
ce;152
discours;7
surprend;3
vu;23
depuis;3
temps;9
qu'on;32
a;54
son;73
peuple;5
armé;1
combattants;5
vous;219
ai;5
d'indifférence;1
dedans;2
aviez;3
pris;5
j'admirais;1
réduisait;1
vos;58
chers;2
intérêts;6
ceux;10
votre;37
consolais;1
milieu;4
plaintes;4
eût;5
toutes;10
craintes;3
tant;27
s'est;6
choqué;1
qu'en;10
légers;1
combats;3
faibles;4
jeter;1
partis;3
bas;2
espoir;6
paix;14
pu;7
flatter;1
peine;9
oui;5
vanité;3
d'être;6
toute;19
heureuse;2
avec;34
quelque;20
regret;3
soudain;5
condamné;1
mouvement;4
secret;3
ressenti;1
contraires;3
maligne;1
faveur;6
l'étouffer;1
rappelant;1
raison;8
pleuré;1
gloire;35
entrait;1
maison;10
aujourd'hui;15
ou;52
tombe;4
qu'albe;5
devienne;1
succombe;3
qu'après;4
bataille;9
demeure;2
ni;23
d'obstacle;3
vainqueurs;9
d'espoir;1
vaincus;6
j'aurais;3
cruelle;2
haine;9
pouvais;2
être;12
demandais;1
triomphe;8
prix;8
m'est;1
précieux;2
m'attache;2
peu;32
point;93
dernier;6
effort;7
serai;2
parti;7
qu'affligera;1
sort;27
égale;5
tous;46
jusques;3
prendrai;1
part;9
maux;9
prendre;8
garde;5
attendant;2
funeses;1
rigueurs;2
voit;13
naître;6
souvent;5
pareilles;2
traverses;2
esprits;3
divers;2
passions;1
diverses;2
qu'à;15
camille;15
agit;4
autrement;3
frère;24
vôtre;6
amant;16
oeil;5
différent;1
lorsque;1
conserviez;1
esprit;10
romain;10
sien;3
irrésolu;1
tremblotant;1
incertain;1
mêlée;1
appréhendait;1
l'orage;2
détestait;1
l'avantage;2
donnait;1
toujours;13
nourrissait;1
ainsi;13
d'éternelles;1
douleurs;9
hier;7
sut;1
avait;3
journée;3
qu'enfin;1
allait;1
donnée;1
soudaine;1
éclatant;2
front;7
ah;6
julie;7
changement;1
prompt;2
belle;7
humeur;2
entretint;1
valère;27
rival;2
doute;3
quitte;3
ébranlé;1
objets;2
présents;1
trouve;6
d'absent;1
aimable;1
après;16
ans;2
excusez;1
l'ardeur;3
fraternelle;1
soin;4
craindre;13
d'elle;3
forme;2
soupçons;1
sujet;5
léger;1
mal;13
propre;3
changer;3
nouveau;2
trait;1
alors;9
d'âmes;1
blessées;1
d'autres;8
pensées;2
n'a;12
aussi;11
gais;1
entretiens;1
contentements;1
soient;7
pareils;6
siens;5
causes;1
m'en;10
semblent;2
fort;9
obscures;1
satisfais;1
d'aucunes;1
conjectures;1
danger;1
l'attendre;2
s'affliger;1
certes;2
d'aller;2
jusqu'à;1
voyez;4
bon;15
génie;1
propos;2
l'envoie;1
essayez;1
faire;27
parler;3
aime;8
celer;2
laisse;8
soeur;45
entretenez;1
honte;14
mélancolie;1
accablé;1
mille;11
cherche;4
solitude;1
cacher;2
pourquoi;6
fuir;1
vouloir;10
entretienne;1
croit-elle;1
vive;1
sienne;2
insensible;3
malheurs;10
tristes;3
mêle;4
frayeurs;2
alarmée;1
perdrai;1
verrai;2
unique;3
mourir;9
détruire;2
cet;10
objet;5
d'amour;7
devenir;3
digne;17
pourtant;4
plaindre;9
d'amant;1
non;25
d'époux;1
oubliez;1
curiace;13
recevez;5
tremblerez;1
contraire;8
serez;2
remis;2
n'aura;2
perdre;3
camp;3
donnez-moi;1
conseils;1
légitimes;3
plaignez;2
m'ordonner;1
crimes;7
quoiqu'à;1
résister;3
j'aime;6
mieux;22
souffrir;8
mériter;2
quoi;19
appelez;1
crime;22
change;2
raisonnable;1
manque;4
foi;3
semble;3
pardonnable;1
envers;1
ennemi;7
obliger;1
serment;1
solennel;1
dégager;1
déguisez;1
vain;8
chose;4
claire;1
vis;7
entretenir;2
l'accueil;1
gracieux;1
recevait;1
permet;1
nourrir;2
doux;14
l'entretins;1
fis;1
visage;2
imaginez;1
désavantage;1
contentement;2
autre;21
était;4
l'objet;1
sortir;3
d'erreur;1
sachez-en;1
amitié;4
pure;1
longtemps;3
m'estime;3
parjure;1
quelques;3
cinq;1
six;2
mois;1
l'hymenée;1
rendu;5
possesseur;1
savez;3
obtint;1
père;23
chastes;1
feux;4
serais;3
salaire;1
fut;4
propice;2
funeste;7
fois;10
unissant;1
maisons;2
désunit;1
même;25
instant;2
conclut;1
hymen;3
fit;2
jeta;1
ôta;1
sitôt;3
eut;2
faisant;4
amants;2
combien;5
parurent;1
lors;2
extrêmes;2
vomit;1
blasphèmes;1
ruisseaux;1
coulèrent;1
dis;3
vîtes;1
adieux;1
avez;6
troubles;1
quels;10
faits;4
flamme;5
versés;1
chaque;5
événement;1
tantôt;3
enfin;19
désespoir;7
longs;1
obstacles;2
m'a;9
avoir;3
recours;1
voix;12
oracles;2
écoutez;4
celui;3
droit;5
rassurer;1
éperdu;1
grec;1
renommé;1
d'années;1
l'aventin;1
prédit;1
destinées;1
qu'apollon;1
jamais;12
faux;3
promit;1
fin;4
travaux;1
«;4
demain;5
prendront;1
face;3
exaucés;2
elles;3
auront;1
seras;1
unie;2
qu'aucun;2
mauvais;5
t'en;8
sépare;3
»;4
oracle;4
entière;5
assurance;3
passait;1
espérance;2
j'abandonnai;1
ravissements;1
passaient;1
transports;1
heureux;7
jugez;1
excès;1
rencontrai;1
coutume;1
put;1
déplaire;3
parla;1
donner;6
d'ennui;1
m'aperçus;1
parlais;1
pus;1
mépris;1
glace;1
voyais;1
semblait;4
disait;1
parlait;1
disais;1
l'assurait;1
combat;18
général;2
hasarde;1
j'en;13
sus;2
nouvelle;6
n'y;4
rejetait;1
funestes;3
charmé;1
pensers;1
d'hymen;1
nuit;1
dissipé;1
erreurs;1
charmantes;1
songes;1
affreux;1
images;2
sanglantes;1
plutôt;8
amas;1
carnage;1
d'horreur;4
m'ont;3
arraché;1
terreur;3
morts;11
n'ai;6
suite;2
spectre;1
paraissant;1
prenait;1
fuite;9
ils;18
s'effaçaient;1
l'un;7
illusion;2
redoublait;1
effroi;1
confusion;3
sens;5
songe;6
s'interprète;1
croire;4
souhaite;1
malgré;5
souhaits;4
finit;2
succède;2
dure;1
y;18
remède;2
soit;10
ait;4
dessous;2
n'attends;1
feu;1
consomme;1
veut;21
vainqueur;15
l'esclave;2
quel;18
présente;1
est-ce;4
croirai-je;1
doutez;1
revoyez;1
cessez;1
d'appréhender;1
rougir;3
mains;19
poids;1
fers;2
romains;9
cru;5
aimiez;1
mépriser;1
chaîne;2
également;1
craignais;1
captivité;1
suffit;2
devine;1
reste;11
fuis;1
moi;29
dérobe;1
secours;6
ici;14
renommée;6
blâme;2
m'avoir;1
aimée;2
mésestimer;1
paraît;3
t'aimer;1
beaucoup;12
quittes;1
paraître;5
as-tu;1
peut-il;1
endurer;1
qu'ainsi;3
t'oses;1
retirer;1
préfère-t-il;1
l'état;11
famille;7
regarde-t-il;1
fille;9
bonheur;12
est-il;1
affermi;1
t'a-t-il;1
gendre;5
tendresse;3
témoignait;1
allégresse;3
trahison;1
indigne;6
l'honneur;16
d'entrer;1
n'abandonne;1
honneur;17
adorant;1
qu'a;2
duré;2
constamment;2
citoyen;1
véritable;5
d'albe;8
j'accordais;1
querelle;4
soupirais;1
combattant;1
fallait;1
vînt;1
coups;13
combattrais;1
soupirant;1
désirs;6
charmée;1
durait;1
l'armée;1
